distance,distribution
0,15
1,6
2,18
3,2
4,3
5,8
6,121
7,2
8,45
9,17
10,182
11,25
12,21
13,27
14,269
15,37
16,41
17,22
18,132
19,38
20,105
21,39
22,61
23,33
24,96
25,113
26,29
27,15
28,131
29,292
30,85
31,39
32,110
33,108
34,69
35,38
36,33
37,102
38,56
39,147
40,90
41,38
42,28
43,39
44,70
45,78
46,145
47,110
48,56
49,145
50,14
51,41
52,35
53,100
54,51
55,46
56,28
57,66
58,38
59,209
60,30
61,69
62,30
63,81
64,23
65,31
66,20
67,71
68,39
69,23
70,42
71,35
72,41
73,59
74,13
75,10
76,42
77,66
78,33
79,58
80,9
81,71
82,64
83,13
84,20
85,31
86,28
87,43
88,31
89,51
90,18
91,19
92,15
93,25
94,73
95,30
96,48
97,23
98,14
99,19
100,17
101,13
102,44
103,11
104,56
105,37
106,75
107,18
108,63
109,20
110,12
111,18
112,16
113,21
114,20
115,35
116,12
117,24
118,19
119,33
120,27
121,19
122,10
123,29
124,4
125,13
126,14
127,23
128,44
129,18
130,6
131,16
132,7
133,12
134,18
135,6
136,12
137,27
138,26
139,44
140,12
141,23
142,16
143,16
144,17
145,7
146,13
147,7
148,16
149,7
150,25
151,7
152,12
153,11
154,25
155,12
156,13
157,13
158,6
159,26
160,18
161,15
162,4
163,12
164,12
165,12
166,8
167,13
168,8
169,12
170,3
171,4
172,9
173,11
174,4
175,5
176,7
177,6
178,5
179,7
180,15
181,4
182,7
183,7
184,8
185,13
186,5
187,6
188,11
189,18
190,5
191,17
192,5
193,8
194,11
196,7
197,7
198,8
199,3
200,6
201,13
202,15
203,9
204,14
205,13
206,11
207,10
208,14
209,18
210,5
211,5
212,6
213,10
214,12
215,18
216,3
217,10
218,2
219,5
220,9
221,7
222,10
223,9
224,2
225,10
226,4
227,8
228,4
229,9
230,7
231,5
232,5
233,8
234,6
235,1
236,8
237,6
238,11
239,6
240,3
242,4
243,15
244,5
246,4
247,7
248,4
249,9
250,2
251,5
253,4
254,4
255,2
256,2
257,4
258,3
259,3
260,6
261,11
262,9
263,6
264,7
265,13
266,6
267,10
268,10
269,5
270,1
271,4
272,4
273,8
275,6
276,4
277,2
278,4
279,7
282,2
283,4
284,5
286,3
287,1
288,2
289,2
290,7
291,9
292,4
294,3
295,3
297,5
298,2
299,4
300,10
301,6
302,12
303,4
304,6
305,8
306,4
308,1
309,3
310,1
311,4
312,1
313,2
314,15
316,8
317,2
318,4
319,4
320,3
321,2
322,3
323,7
324,5
325,3
326,3
327,6
328,4
329,3
330,11
331,2
332,8
333,6
334,6
335,9
336,5
338,4
339,5
340,6
341,9
343,3
344,4
345,4
346,1
347,5
348,6
349,3
350,8
351,1
352,2
353,2
356,3
357,6
358,7
360,10
361,9
362,2
363,3
364,1
366,4
367,8
370,2
371,1
372,6
373,3
374,1
375,4
376,2
377,2
378,2
379,4
380,5
381,4
382,3
383,1
384,4
385,3
386,2
388,1
389,2
390,3
391,4
393,1
394,4
395,3
396,2
397,6
398,6
399,4
400,3
401,2
402,2
403,2
404,4
405,3
406,3
407,1
408,2
409,4
410,4
411,1
412,1
413,1
414,2
415,4
416,3
417,4
419,5
422,3
423,1
424,1
425,4
426,4
427,2
428,2
429,8
430,9
431,1
432,2
433,2
434,8
435,4
436,1
437,1
438,5
440,2
441,3
442,5
444,2
445,3
447,12
449,1
450,4
452,1
453,7
454,4
455,6
456,1
457,5
458,3
459,1
460,4
462,4
463,2
464,1
465,1
466,4
468,3
469,4
470,4
471,11
472,2
473,3
474,1
476,1
478,1
479,6
480,3
481,3
482,1
484,3
485,1
486,1
487,1
488,1
489,4
490,18
491,9
492,7
493,9
494,2
495,5
496,1
497,1
498,5
499,6
500,3
501,1
502,2
503,11
504,12
505,3
506,1
507,2
508,3
511,1
513,3
516,2
517,6
518,3
520,2
521,2
522,4
523,4
526,4
527,3
528,5
529,2
530,1
531,3
532,2
534,6
535,6
536,2
537,2
538,1
539,1
542,3
543,3
545,6
546,1
547,3
549,2
550,3
551,3
552,2
553,6
554,5
555,3
556,3
557,2
558,5
560,4
561,3
562,1
563,4
564,2
565,2
566,1
567,3
568,2
569,6
570,2
571,6
572,2
574,2
575,3
576,4
577,3
578,4
579,2
581,6
582,1
583,2
585,5
586,1
587,3
589,4
590,2
591,1
592,3
593,2
594,2
595,2
597,4
598,4
599,1
601,1
602,1
603,3
604,6
605,1
606,3
607,2
609,3
610,2
611,1
614,3
615,3
616,2
617,2
618,6
619,6
620,4
621,2
622,6
623,6
624,5
625,1
626,2
627,3
629,8
630,3
631,1
632,4
634,1
635,2
637,1
639,3
640,2
641,1
642,2
643,3
