name,trains,latitude,longitude
CST-MUMBAI,1027,18.9398,72.8354
KALYAN JN,828,19.23525,73.1305
THANE,796,19.186111,72.975833
SEALDAH,745,22.5677,88.3708
CHENNAI BEAC,738,13.09222,80.2919
HOWRAH JN.,699,22.5818,88.3423
DADAR,598,19.0184,72.8432
DUM DUM JN.,463,22.6209,88.3933
KURLA,462,19.0656,72.8791
TAMBARAM,434,12.931306,80.119393
VIJAYWADA JN,416,16.5184,80.6195
GHAT KOPAR,406,19.0857,72.9081
BIDHANNAGAR,404,22.5911,88.3907
PANVEL,402,18.98932,73.12229
MULUND,393,19.17,72.952
MUMBAI (MATU,393,19.027414,72.850163
MUMBAI (BYCU,392,18.976389,72.832778
KANPUR CENTR,383,26.4537015,80.3512524
LUCKNOW JN.,383,26.832,80.919
VADODARA JN.,378,22.3108,73.1809
