HOWRAH JN.,138471
LOKMANYA TILAK TERMINUS,105781
NEW DELHI,93664
HAZRAT NIZAMUDDIN JN,92716
YESVANTPUR JN.,82067
CHENNAI CENTRAL,81917
CST-MUMBAI,70213
BANDRA TERMINUS,60597
AMRITSAR JN.,59299
AHMEDABAD,58271
PUNE JN.,56565
TRIVANDRUM CENTRAL,56201
GORAKHPUR JN.,55951
PURI,55347
ANAND VIHAR TERMINAL,54847
SECUNDERABAD JN.,47693
SEALDAH,42547
VISAKHAPATNAM,40693
ERNAKULAM. JN,39717
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),39480
JAMMU TAWI,38186
TIRUPATI,38119
JAIPUR JN.,37996
PATNA JN.,37629
GUWAHATI,36607
SHRI MATA VAISHNO DEVI KATRA,35709
LUCKNOW JN.,34575
KOLKATA,34284
BHUBANESWAR,33267
INDORE BG,32109
VARANASI JN.,31994
AJMER JN.,31929
KAMAKHYA JN,31665
BIKANER JN.,29383
HYDERABAD DECCAN,29006
DIBRUGARH,27417
MYSORE JN.,27030
KOCHUVELI,26742
DELHI JN.,26686
SANTRAGACHI JN.,26013
OKHA,25357
BILASPUR JN.,23868
JODHPUR JN.,23372
JABALPUR,23124
SHALIMAR,22008
CHENNAI EGMORE,21765
MUMBAI CENTRAL,20773
MANGALORE CENTRAL,20565
DEHRA DUN,20421
MUZAFFARPUR JN.,20421
NANDED,20145
QUILON,20004
GANDHIDHAM JN.,19276
CHANDIGARH,19153
COIMBATORE  JN.,19068
KANNIYAKUMARI,18660
HATIA,18591
DURG,18468
DELHI-SARAI ROHILLA,17699
TATANAGAR JN,17554
RANCHI,17490
DARBHANGA JN.,17401
KACHEGUDA,16585
NAGPUR JN.(CR),15719
DADAR,15633
NAGERCOIL JN.,15471
SAI NAGAR SHIRDI,15314
PORBANDAR,15017
HARIDWAR JN,14963
BHAGAT-KI-KOTHI,14867
JAYNAGAR,14737
CHHAPRA JN.,14513
RAMESWARAM,14484
MADURAI JN,14395
RAJENDRANAGAR TERMINAL,14042
UDAIPUR CITY,13816
RAXAUL JN.,13659
HUBLI JN.,13645
CHHATRAPATI SHAHU MAHARAJ TERMINUS,13321
BHAGALPUR,13264
PONDICHERRY,13088
SILCHAR,13030
MADGOAN JN.,12767
ASANSOL MAIN,12744
KANPUR CENTRAL JN.,12601
NEW JALPAIGURI JN,12389
CHENNAI BEACH,12190
VIJAYWADA JN.,12131
SURAT,12066
BARAUNI JN.,11986
TIRUNELVELI JN,11970
SAHARSA JN.,11897
SHRI GANGANAGAR,11883
MALDA TOWN,11219
VASCO-DA-GAMA,11088
DANAPUR,10667
BANGALORE CANTT.,10310
TAMBARAM,10255
NEW BHUJ,10208
BAREILLY JN.,10042
BHAVNAGAR TERMINUS,9915
KOTA,9818
RAJKOT,9804
DHANBAD JN.,9330
ALLAHABAD JN.,9286
FIROZPUR CANTT JN.,9157
GAYA JN.,8974
VALSAD,8837
BHOPAL,8025
KAKINADA PORT,7783
BARDDHAMAN JN.,7781
MANDUADIH,7723
FAIZABAD JN.,7650
JAISALMER,7261
AGARTALA,7064
MOOR MARKET,6968
GONDIA JN.,6869
GHAZIPUR CITY,6782
DELHI-SAFDAR JANG,6737
CHENGALPATTU,6731
KATIHAR JN.,6659
KALKA,6628
BARMER,6529
REWA,6497
SOLAPUR,6494
SAMBALPUR JN.,6385
BHUSAVAL JN.,6344
AGRA CANTT,6272
GWALIOR JN,6019
TIRUCHIRAPPALLI JN.,6000
HISAR JN,5975
KHARAGPUR,5972
KAKINADA TOWN,5926
JAMNAGAR,5861
HAPA,5815
KALYAN JN,5694
PATLIPUTRA,5678
AURANGABAD,5558
VILLUPURAM JN.,5463
KATHGODAM,5437
AMBALA CANTT JN,5343
NAGARSOL,5310
KAZIPET JN.,5279
DIBRUGARH TOWN,5225
AMRAVATI,5162
KORBA,4930
UDHNA JN.,4865
REWARI JN.,4814
NARASAPUR,4802
JHANSI JN,4801
UDHAMPUR,4768
MATHURA JN.,4767
VERAVAL,4554
SOMNATH,4475
SULTANPUR JN.,4423
NIZAMABAD,4406
TUTICORIN,4398
ALIPUR DUAR JN.,4380
VADODARA JN.,4376
GUNTUR JN.,4283
MANNARGUDI,4215
NEW TINSUKIA JN,4212
ALLEPPEY,4205
DIGHA FS,4192
PANVEL,4110
HALDIA,4047
AJNI,3866
SAHARANPUR JN.,3849
PARTAPGARH JN.,3807
ADILABAD,3765
RAIPUR JN.,3717
PURULIA JN.,3684
KARAIKAL,3585
KARMALI,3567
PATHANKOT JN.,3498
KANNUR,3408
HABIBGANJ,3404
ARAKKONAM JN,3401
BATHINDA JN,3391
RAMPUR HAT,3341
RAMNAGAR,3291
AZAMGARH,3263
KATWA JN.,3243
PRAYAG JN.,3209
SIRSA,3170
RATLAM JN,3142
BANGAON JN.,3097
SITAMARHI,3045
ROURKELA,3043
LALGOLA,3033
SILIGURI JN.,3003
ERODE JN.,2980
MANGALORE JN,2903
PURNA  JN.,2900
MANMAD JN.,2868
NAUTANWA,2859
NANGAL DAM,2831
LUDHIANA JN.,2815
NAHARLAGUN,2791
BIDAR,2786
MAHUVA,2785
