name,trains,latitude,longitude
CST-MUMBAI,513,18.9398,72.8354
SEALDAH,372,22.5677,88.3708
CHENNAI BEACH,339,13.09222,80.2919
HOWRAH JN.,338,22.5818,88.3423
KALYAN JN,285,19.23525,73.1305
THANE,186,19.186111,72.975833
PANVEL,141,18.98932,73.12229
TAMBARAM,140,12.931306,80.119393
MOOR MARKET,135,13.0831365,80.2739796
VELACHEERY,115,12.967387,80.218965
NEW DELHI,106,28.6417,77.2207
RAVLI JN,99,19.027685,72.8606
VASHI,92,19.0632,72.9988
DELHI JN.,88,28.661,77.2277
PUNE JN.,81,18.5289,73.8743
BARDDHAMAN JN.,78,23.2491,87.8705
CHENNAI CENTRAL,78,13.0826,80.275
CHENGALPATTU,74,12.693056,79.980278
BANDEL JN.,73,22.916667,88.366667
LOKMANYA TILAK TERMINUS,70,19.07,72.89
