.BAGHAJATIN,217
ABADA,90
ABHAIPUR,62
ABHANPUR JN.,12
ABHAYAPURI A,6
ABJUGANJ,6
ABOHAR,28
ABU ROAD,100
ABUTARA HALT,6
ACHAL GANJ,6
ACHALDA,10
ACHARYA NARE,14
ACHEGAON,6
ACHHNERA JN.,52
ADALPAHARI,1
ADAPUR,8
ADARKI,4
ADARSH NAGAR,25
ADARSHNAGAR,2
ADAS ROAD,18
ADAVALI,8
ADESAR,6
ADHARTAL,12
ADHIKARI,8
ADHINPUR,6
ADHYATMIK NA,6
ADI SAPTAGRA,65
ADICHUNCHUNA,2
ADIHALLI,8
ADILABAD,19
ADINA,14
ADIPUR,14
ADITYAPUR,28
ADONI,57
ADRA,102
ADRAJ MOTI,4
ADRI ROAD,6
ADUTHURAI,20
AGARAM SIBBA,6
AGARPARA,210
AGARTALA,16
AGAS,16
AGASOD,4
AGAUTHAR HAL,4
AGHWANPUR,6
AGOMONI,6
AGORI KHAS,8
AGRA  FORT,58
AGRA CANTT,174
AGRA CITY,6
AGRADWIP,40
AGRAN DHULGA,4
AGSAULI,8
AGTHORI,6
AHALYAPUR F,8
AHERA,24
AHERWADI H,5
AHIMANPUR,9
AHIRAN H,16
AHIRAULI (HA,10
AHJU,4
AHMADNAGAR,63
AHMADPUR JN.,46
AHMED GARH,19
AHMEDABAD,305
AHMEDABAD JN,6
AHRAURA ROAD,6
AIGAWAN,10
AILAM HALT,20
AISHBAGH,7
AIT JN,24
AITHAL,12
AIYANAPURAM,2
AJAIBPUR,22
AJAKOLLU HAL,6
AJAMPUR,16
AJARKA,6
AJGAIN,28
AJHAI,10
AJHARAIL,7
AJIT,9
AJIT GILL MA,10
AJITWAL,12
AJMER JN.,129
AJNI,27
AJNOD,8
AKAIPUR H,31
AKALKOT ROAD,12
AKALTARA,46
AKANAPET,24
AKASHI  PH,7
AKATHAMURI,8
AKBAR GANJ,14
AKBARNAGAR,30
AKBARPUR JN.,42
AKELA HANSPU,8
AKIVIDU,41
AKKAMPET,24
AKKARAIPPATT,6
AKKIHEBBALU,10
AKODIA,20
AKOLA JN.,134
AKOLNER,6
AKONA,2
AKRA,62
AKSHAYWAT RA,18
AKURDI,48
ALAI,4
ALAKKUDI,24
ALAL,8
ALAM NAGAR,29
ALAM PUR ROA,6
ALAMANDA,19
ALAMPUR,12
ALANDI,4
ALAPPAKKAM,6
ALAWAL PUR,6
ALAWALPUR ID,20
ALEHPUR,4
ALER,24
ALEWAHI,8
ALGAPUR,2
ALIGANJ,12
ALIGARH JN.,99
ALINDRA ROAD,8
ALIPUR DUAR,58
ALIYAVADA,10
ALLAHABAD CI,33
ALLAHABAD JN,205
ALLEPPEY,68
ALLURUROAD,6
ALMATTI,19
ALMAW (HALT),9
ALNAVAR JN.,26
ALNIYA,10
ALTAGRAM,4
ALUABARI ROA,35
ALWAL HALT,34
ALWAR JN.,63
ALWAR TIRUNA,12
ALWAYE,164
AMAGURA,2
AMALNER,46
AMALPUR,8
AMALSAD,28
AMANVADI,6
AMAR SAHEED,1
AMARAVATHI C,2
AMARAVILLA H,10
AMARDA ROAD,16
AMARGARH,10
AMARGOL,8
AMARPUR-JORA,6
AMARPURA,4
AMARPURA RAT,4
AMARSAR,6
AMARUN,12
AMAUSI,28
AMB  ANDAURA,8
AMBAGAON,2
AMBALA CANTT,274
AMBALA CITY,58
AMBALAPUZHA,32
AMBARI,4
AMBARI FALAK,12
AMBASAMUDRAM,8
AMBASSA,10
AMBATTUR,281
AMBATURAI,14
AMBERNATH,225
AMBIAPUR,8
AMBIKA (ROHI,4
AMBIKA BHAWA,4
AMBIKA KALNA,56
AMBIKAPUR,10
AMBIKESHWAR,4
AMBIVLI,78
AMBLE,5
AMBLI ROAD,7
AMBLIYASAN J,18
AMBODALA,22
AMBUR,30
AMDARA,14
AMDI,6
AMETHI,56
AMGAON,25
AMGURI,14
AMHERA  HALT,4
AMILA (HALT),8
AMIN,11
AMJONGA,6
AMLA JN.,54
AMLAI,24
AMLETHA,2
AMLI,6
AMLO,6
AMLORI SARSA,16
AMMANABROLU,20
AMMAPALI,12
AMMAPET,9
AMMASANDRA,16
AMMUGUDA HAL,34
AMNAPUR,4
AMONI,4
AMRAVATI,30
AMRELI,6
AMRELI PARA,6
AMRITHAPURA,8
AMRITSAR JN.,127
AMROHA,51
AMRUTVEL,4
AMTA,6
ANAKAPALLE,72
ANAMALAI ROA,2
ANAND JN.,243
ANAND NAGAR,42
ANAND VIHAR,140
ANANDATANDAV,8
ANANDPUR SAH,22
ANANGUR,10
ANANTAPUR,84
ANANTAPURAM,8
ANANTARAJUPE,4
ANANTNAG,22
ANANTPAITH,4
ANAPARTI,28
ANARA,42
ANAS,10
ANCHELI,17
ANCHURI PH,15
ANDAL JN.,79
ANDANAPETTAI,7
ANDHERI,27
ANDUL,115
ANEKAL ROAD,10
ANGADGERI H,5
ANGADI,9
ANGADIPURAM,14
ANGAI HALT,4
ANGALAKUDURU,15
ANGAMALI (FO,48
ANGAR,4
ANGAR GHAT,12
ANGUA PH,13
ANGUL,46
ANIPUR,4
ANJANI,4
ANJAR,12
ANJI SHAHABA,22
ANKAI,14
ANKLAV,4
ANKLESHWAR J,90
ANKLESHWAR U,2
ANKOLA,12
ANKORAH (AKO,16
ANKUSPUR,14
ANNANUR,184
ANNAVARAM,40
ANNECHAKANAH,6
ANNIGERI,24
ANPARA,5
ANTAH,7
ANTRI,4
ANTU,18
ANUGRAH NARA,42
ANUP SHAHR,4
ANUPGANJ,6
ANUPGARH,8
ANUPPAMBATTU,78
ANUPPUR JN.,72
ANVARDIKANPE,14
AONLA,28
APPIKATLA,14
APTA,8
ARA,113
ARABAGATTA,6
ARAG,8
ARAKKONAM JN,227
ARAKKONAM NO,7
ARAKKONAM WE,2
ARAKU,4
ARALAGUPPE,10
ARALVAYMOLI,10
ARAMBAG,25
ARAMBAKKAM,34
ARAND,6
ARANGHATA,38
ARANGMAHANAD,6
ARAON,4
ARARIYA,15
ARARIYA COUR,19
ARASALU,4
ARAUL MAKANP,9
ARAVALI ROAD,6
ARAVALLI,12
ARAVANKADU,8
ARCHIPATHAR,8
ARELI (HALT),7
AREPALLI HAL,6
ARGORA  PH,7
ARGUL,10
ARIGADA,4
ARIYALUR,30
ARJANSAR,6
ARJUNAHALLI,6
ARJUNI,10
ARKHA HALT,4
ARMOOR,2
ARNEJ,10
ARNETHA,6
ARNI ROAD,16
ARNIYA,6
ARSENI,4
ARSIKERE JN.,91
ARTALAKATTA,2
ARTS COLLAGE,99
ARUMUGANERI,14
ARUN NAGAR H,8
ARUNACHAL,14
ARUPPUKKOTTA,6
ARUR H.,8
ASAFPUR,12
ASAIPUR JOBN,19
ASALODA,12
ASAN,6
ASANBONI,16
ASANGAON,78
ASANSOL MAIN,263
ASAOTI,48
ASARANADA,8
ASAUDAH,26
ASHAPURA GOM,12
ASHAPURNA DE,5
ASHOK NAGAR,36
ASHOKAPURAM,12
ASHOKNAGAR R,91
ASHTEGAON,4
ASIFABAD ROA,12
ASIRGARH ROA,4
ASLANA,8
ASLU,8
ASNOTI,8
ASOKHAR,6
ASPARI,2
ASRA HALT,18
ASTHAL BOHAR,31
ASVALI,4
ASWAPURAM,4
ATA,4
ATAMANDA,8
ATARI JN,8
ATARRA,19
ATELI,8
