ABHANPUR JN.,34
ABOHAR,661
ABU ROAD,117
ACHHNERA JN.,139
ADILABAD,3765
ADRA,1698
ADRAJ MOTI,78
AGARTALA,7064
AGRA  FORT,2415
AGRA CANTT,6272
AHMEDABAD,58271
AHMEDABAD JN.,443
AIT JN,65
AJMER JN.,31929
AJNI,3866
AKOLA JN.,1223
ALIGARH JN.,1599
ALIPUR DUAR JN.,4380
ALLAHABAD CITY,1447
ALLAHABAD JN.,9286
ALLEPPEY,4205
ALWAR JN.,273
AMB  ANDAURA,871
AMBALA CANTT JN,5343
AMBERNATH,228
AMBIKAPUR,1509
AMBLIYASAN JN.,3
AMLA JN.,304
AMRAVATI,5162
AMRITSAR JN.,59299
AMTA,142
ANAND JN.,1478
ANAND VIHAR TERMINAL,54847
ANDAL JN.,520
ANDHERI,101
ANGUL,196
ANKLESHWAR JN.,62
ANUPGARH,275
ANUPPUR JN.,150
ARA,587
ARAKKONAM JN,3401
ARAMBAG,768
ARSIKERE JN.,804
ASANGAON,640
ASANSOL MAIN,12744
ATARI JN,1883
AUNRIHAR JN.,269
AURANGABAD,5558
AVADI,1122
AYODHYA,240
AZAMGARH,3263
AZIMGANJ JN.,2372
BADAMPAHAR,116
BADARPUR JN.,71
BADLAPUR,476
BADNERA JN.,63
BADSHAHNAGAR,333
BAGALKOT,994
BAGAVATHIPURAM,78
BAGNAN,127
BAHRAICH,1392
BAIDYANATHDHAM,280
BAIJNATH PAPROLA,715
BAIYYAPPANAHALLI,176
BAKHTIYARPUR JN.,246
BALAMAU JN.,344
BALANGIR,395
BALASORE,440
BALGONA,104
BALHARSHAH,1645
BALICHAK,91
BALLABGARH,44
BALLIA,2163
BALLY,30
BALLYGUNGE JN.,45
BALURGHAT,1264
BAMANHAT,488
BANASWADI,1567
BANDEL JN.,2773
BANDIKUI JN.,711
BANDRA TERMINUS,60597
BANGALORE CANTT.,10310
BANGAON JN.,3097
BANGARPET JN.,359
BANGRIPOSI,345
BANIHAL,1204
BANKA,432
BANKURA,2498
BARA BANKI JN.,237
BARABHUM,182
BARAMATI,406
BARAMULLA,850
BARASAT JN.,859
BARAUNI JN.,11986
BARAUT,54
BARBIL,1071
BARDDHAMAN JN.,7781
BAREILLY CITY,1363
BAREILLY JN.,10042
BARHAJ BAZAR,100
BARHARWA JN.,586
BARHNI,336
BARI,39
BARIPADA PH,154
BARKAKANA,2047
BARMER,6529
BARRACKPORE,448
BARSOI JN.,40
BARSUAN,96
BARUI PARA,104
BARUIPUR JN.,602
BARWADIH JN,1081
BASTI,327
BATHINDA JN,3391
BATHUA BAZAR HALT,159
BAYANA,512
BEAS JN,196
BELAPUR C.B.D,209
BELDA,40
BELGAUM,1019
BELLARY JN.,279
BELURMATH,36
BENOY BADAL DINESH BAG,183
BERHAMPUR,595
BETTIAH,189
BETUL,155
BHABUA ROAD,435
BHADRACHALAM ROAD,565
BHADRAKH,772
BHAGA JN,80
BHAGALPUR,13264
BHAGAT-KI-KOTHI,14867
BHAGTANWALA,144
BHAIRABI,103
BHALUKPONG,49
BHANJPUR,386
BHANVAD,104
BHARATPUR JN,269
BHARUCH JN.,489
BHATNI JN.,590
BHAVNAGAR TERMINUS,9915
BHILAD,234
BHILDI JN,303
BHILWARA,242
BHIMAVARAM JN.,484
BHIMAVARAM TOWN,49
BHIND,1352
BHIWANI JN.,1547
BHOJUDIH JN.,394
BHONGIR,59
BHOPAL,8025
BHUBANESWAR,33267
BHUSAVAL JN.,6344
BIDAR,2786
BIJAPUR JN,1851
BIKANER JN.,29383
BILARA,87
BILASPUR JN.,23868
BINA,2277
BIR,66
BIRAUL,162
BIRMITRAPUR,96
BIRUR JN.,62
BISHNUPUR,30
BITRAGUNTA,429
BOBBILI JN.,80
BODHAN,437
BOISAR,51
BOKARO STEEL CITY,1254
BOLARUM,60
BOLPUR,304
BORDHAI,88
BORIVLI,321
BOTAD,169
BOTAD JN (MG),791
BUDGAM,714
BUDGE BUDGE,1041
BULANDSHAHR,103
BUNIYADPUR,60
BURHWAL JN.,201
BUXAR,345
BYNDOOR,179
CALICUT,781
CANNING,1278
CASTLE ROCK,212
CHAIBASA,40
CHAKARADHARPUR,1003
CHAKULIA,69
CHALISGAON JN.,168
CHAMPAHATI,30
CHAMRAJANAGAR,438
CHANDAFORT,249
CHANDANPUR,160
CHANDAUSI JN.,276
CHANDIA ROAD,213
CHANDIGARH,19153
CHANDRAPURA JN.,37
CHANNA PATNA,201
CHENGALPATTU,6731
CHENNAI BEACH,12190
CHENNAI CENTRAL,81917
CHENNAI EGMORE,21765
CHERVATTUR,83
CHHAPRA JN.,14513
CHHAPRA KACHEHRI,212
CHHATRAPATI SHAHU MAHARAJ TERMINUS,13321
CHHEOKI,609
CHHINWARA JN,1920
CHHOTA UDEPUR,414
CHIKJAJUR JN.,649
CHIKMAGALURU,358
CHIRMIRI,1193
CHITRADURG,126
CHITRAKUTDHAM KARWI,213
CHITTAURGARH JN,672
CHITTOOR,707
CHOPAN,2079
CHUNAR JN.,424
CHURCHGATE,797
CHURU,317
COIMBATORE  JN.,19068
COONOOR,54
CST-MUMBAI,70213
CUDDALORE PORT JN.,180
CUDDAPAH,529
CUTTACK JN.,1024
DADAR,15633
DAHANU ROAD,1887
DAHEJ,61
DAHOD,1416
DAKOR,58
DALIGANJ JN,332
DALLI-RAJHARA,303
DAMOH,446
DANAPUR,10667
DANGARI,39
DANKAUR,125
DANKUNI JN.,588
DARBHANGA JN.,17401
DARJEELING,255
DATTAPUKUR,361
DAUND JN.,1085
DAURAM MADHEPURA,21
DEHRA DUN,20421
DEHRI-ON-SON,1007
DEKARGAON,768
DELHI JN.,26686
DELHI-SAFDAR JANG,6737
DELHI-SARAI ROHILLA,17699
DELVADA,254
DEOGHAR,331
DERABABA NANAK,188
DEVANHALLI,33
DEVLALI,262
DHAMTARI,150
DHANAURI,78
DHANBAD JN.,9330
DHARMABAD,419
DHARMANAGAR,395
DHARMAPURI,150
DHARMAVARAM JN.,619
DHARWAD,1395
DHASA JN (MG),586
DHOLA JN,152
DHOLPUR (NG),128
DHONE JN,333
DHRANGADHRA,278
DHUBRI,571
DHULE,168
DHURI JN.,419
DIAMOND HARBOUR,1552
DIBRUGARH,27417
DIBRUGARH TOWN,5225
DIGHA FS,4192
DIGHA GHAT,25
DILDARNAGAR JN,107
DIMAPUR,653
DINDIGUL JN,370
DINHATA,210
DIVA JN,846
DOHRIGHAT,140
DOMBIVLI,156
DOMBIVLI CTL,86
DONGAR GARH,564
DORNAKAL JN.,281
DULLABCHERRA,172
DUM DUM JN.,92
DUMDUM CANTONMENT,12
